iter	Passed	Remaining
473	677	751
474	678	750
475	679	748
476	680	746
477	681	744
478	683	742
479	684	741
480	685	739
481	686	737
482	687	735
483	688	734
484	689	732
485	690	730
486	691	728
487	692	726
488	694	725
489	695	723
490	696	721
491	697	720
492	698	718
493	700	717
494	701	715
495	702	713
496	703	711
497	704	710
498	705	708
499	706	706
500	707	704
501	708	702
502	709	701
503	710	699
504	712	698
505	713	696
506	714	694
507	716	693
508	717	692
509	718	690
510	720	689
511	721	688
512	723	686
513	724	684
514	725	683
515	726	681
516	727	680
517	728	678
518	730	676
519	731	674
520	732	673
521	733	671
522	734	670
523	735	668
524	737	666
525	738	665
526	740	664
527	741	662
528	742	660
529	743	659
530	744	657
531	746	656
532	747	655
533	749	653
534	750	652
535	751	650
536	752	649
537	753	647
538	754	645
539	755	643
540	757	642
541	758	640
542	759	639
543	760	637
544	761	636
545	762	634
546	764	632
547	765	631
548	766	629
549	767	628
550	768	626
551	769	624
552	771	623
553	772	621
554	773	620
555	775	619
556	776	617
557	777	616
558	779	614
559	780	612
560	781	611
561	782	609
562	783	608
563	784	606
564	785	604
565	786	603
566	788	602
567	790	601
568	791	599
569	792	597
570	793	596
571	794	594
572	795	593
573	797	591
574	798	590
575	799	588
576	800	587
577	802	585
578	803	584
579	805	583
580	806	581
581	807	580
582	809	578
583	810	577
584	811	575
585	812	573
586	813	572
587	814	570
588	815	569
589	817	567
590	818	566
591	819	564
592	820	563
593	822	562
594	823	560
595	824	558
596	825	557
597	826	555
598	828	554
599	828	552
600	829	551
601	830	549
602	832	547
603	833	546
604	834	544
605	835	543
606	836	541
607	837	540
608	838	538
609	839	536
610	840	535
611	841	533
612	842	532
613	844	530
614	845	529
615	846	527
616	848	526
617	849	524
618	850	523
619	852	522
620	853	520
621	854	519
622	855	517
623	856	516
624	857	514
625	859	513
626	861	512
627	863	511
628	864	510
629	865	508
630	866	506
631	867	505
632	869	503
633	870	502
634	871	501
635	873	499
636	874	498
637	875	496
638	877	496
639	879	494
640	880	493
641	881	491
642	882	490
643	884	488
644	885	487
645	886	485
646	887	484
647	888	482
648	890	481
649	891	479
650	892	478
651	893	476
652	894	475
653	895	473
654	896	472
655	897	470
656	898	469
657	899	467
658	900	466
659	901	464
660	902	463
661	904	461
662	905	460
663	907	458
664	908	457
665	909	455
666	910	454
667	911	452
668	912	451
669	913	450
670	915	448
671	916	447
672	917	445
673	918	444
674	919	442
675	921	441
676	922	440
677	923	438
678	924	437
679	925	435
680	926	434
681	928	432
682	929	431
683	930	429
684	931	428
685	932	426
686	933	425
687	934	423
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	941	415
694	943	413
695	944	412
696	945	410
697	946	409
698	948	408
699	949	406
700	950	405
701	952	404
702	953	402
703	954	401
704	955	399
705	957	398
706	958	397
707	959	395
708	960	394
709	961	392
710	963	391
711	965	390
712	966	389
713	967	387
714	969	386
715	970	384
716	971	383
717	972	382
718	973	380
719	975	379
720	976	377
721	977	376
722	979	375
723	980	373
724	981	372
725	982	370
726	984	369
727	985	368
728	986	366
729	988	365
730	990	364
731	991	363
732	993	361
733	994	360
734	995	358
735	996	357
736	998	356
737	999	354
738	1000	353
739	1001	351
740	1003	350
741	1005	349
742	1007	348
743	1009	347
744	1013	346
745	1014	345
746	1015	344
747	1017	342
748	1018	341
749	1019	339
750	1021	338
751	1023	337
752	1024	336
753	1026	334
754	1028	333
755	1029	332
756	1031	331
757	1032	329
758	1034	328
759	1036	327
760	1039	326
